seed,position,intensity,initial_ovr,peak_ovr,final_ovr,ovr_ceiling,seasons_played,retired_age,career_goals,career_matches,league_titles,poty_wins,best_season_avg_output,sporting_rep,club_fan_rep,rival_crystallised,marketability,discipline_rep,career_output_sum,decisive_moments,clubs_served,longest_club_tenure,winning,accolades,output,longevity,decisive,loyalty,icon,head_to_head,score_Trophy Cabinet,score_Eye-Test Romantics,score_Stats Purists,score_Loyalty Traditionalists
700106,Midfielder,Low,64,81,77,93,20,39,22,560,4,0,46,50,70,False,50,50,12031,0,1,20,80,20,33,100,0,100,50,50,49,31,51,69
700107,Midfielder,Medium,64,86,84,93,20,39,21,561,2,0,46,50,70,False,50,50,12095,0,1,20,40,10,33,100,0,100,50,50,33,25,46,62
700116,Midfielder,High,64,93,86,96,20,39,26,560,1,0,47,50,70,False,50,50,11463,0,1,20,20,5,33,100,0,100,50,50,26,22,43,59
700117,Defender,Low,64,80,77,93,20,39,42,560,0,0,47,50,70,False,50,50,11344,0,1,20,0,0,33,100,0,100,50,50,18,19,40,55
700118,Defender,Medium,64,88,84,95,20,39,53,566,2,0,48,50,70,False,50,50,12388,0,1,20,40,10,34,100,0,100,50,50,33,26,46,62
700119,Defender,High,64,89,85,93,20,39,43,564,0,0,48,50,70,False,50,50,11993,0,1,20,0,0,34,100,0,100,50,50,18,20,41,55
700112,Forward,Low,64,85,83,97,20,39,156,554,4,0,47,50,70,False,50,50,11374,0,1,20,80,20,33,100,0,100,50,50,49,31,51,69
700113,Forward,Medium,64,90,88,97,20,39,194,552,1,0,47,50,70,False,50,50,11042,0,1,20,20,5,33,100,0,100,50,50,26,22,43,59
700114,Forward,High,64,90,89,93,20,39,174,568,0,0,46,50,70,False,50,50,12367,0,1,20,0,0,33,100,0,100,50,50,18,19,40,55
700115,Midfielder,Low,64,82,78,94,20,39,28,568,1,0,46,50,70,False,50,50,12241,0,1,20,20,5,33,100,0,100,50,50,26,22,43,59
700124,Midfielder,Medium,64,85,83,92,20,39,31,564,1,0,47,50,70,False,50,50,12845,0,1,20,20,5,34,100,0,100,50,50,26,23,43,59
700125,Midfielder,High,64,89,88,93,20,39,28,564,1,0,47,50,70,False,50,50,12861,0,1,20,20,5,34,100,0,100,50,50,26,23,43,59
700126,Defender,Low,64,81,78,93,20,39,53,561,1,0,47,50,70,False,50,50,11338,0,1,20,20,5,33,100,0,100,50,50,26,22,43,59
700127,Defender,Medium,64,86,83,94,20,39,49,560,3,0,47,50,70,False,50,50,11129,0,1,20,60,15,33,100,0,100,50,50,41,28,48,66
700120,Defender,High,64,88,86,93,20,39,42,557,1,0,46,50,70,False,50,50,11826,0,1,20,20,5,33,100,0,100,50,50,26,22,43,59
700121,Forward,Low,64,84,82,96,20,39,171,559,1,0,46,50,70,False,50,50,12088,0,1,20,20,5,33,100,0,100,50,50,26,22,43,59
700122,Forward,Medium,62,86,84,92,20,39,157,560,2,0,46,50,70,False,50,50,10831,0,1,20,40,10,32,100,0,100,50,50,33,25,45,62
700123,Forward,High,62,87,86,90,20,39,156,559,3,0,46,50,70,False,50,50,10957,0,1,20,60,15,32,100,0,100,50,50,41,28,48,66
700132,Midfielder,Low,64,81,79,93,20,39,28,545,8,0,39,50,70,False,50,50,7990,0,1,20,100,40,26,100,0,100,50,50,58,36,53,74
700133,Midfielder,Medium,64,86,82,93,20,39,31,546,1,0,39,50,70,False,50,50,7807,0,1,20,20,5,26,100,0,100,50,50,25,21,40,58
700134,Midfielder,High,64,93,91,96,20,39,22,564,1,0,40,50,70,False,50,50,9318,0,1,20,20,5,28,100,0,100,50,50,25,22,41,58
700135,Defender,Low,64,81,77,93,20,39,51,565,3,0,40,50,70,False,50,50,9274,0,1,20,60,15,28,100,0,100,50,50,41,28,46,65
700128,Defender,Medium,64,85,82,93,20,39,58,562,2,0,40,50,70,False,50,50,9476,0,1,20,40,10,28,100,0,100,50,50,33,25,44,62
700129,Defender,High,64,91,88,95,20,39,50,561,2,0,40,50,70,False,50,50,9523,0,1,20,40,10,28,100,0,100,50,50,33,25,44,62
700130,Forward,Low,64,83,81,94,20,39,151,554,1,0,40,50,70,False,50,50,9188,0,1,20,20,5,28,100,0,100,50,50,25,22,41,58
700131,Forward,Medium,64,90,88,97,20,39,170,555,3,0,40,50,70,False,50,50,9049,0,1,20,60,15,28,100,0,100,50,50,41,28,46,65
700140,Forward,High,60,89,88,92,20,39,140,553,3,0,40,50,70,False,50,50,8780,0,1,20,60,15,27,100,0,100,50,50,40,28,46,65
700141,Midfielder,Low,64,81,79,93,20,39,28,553,2,0,40,50,70,False,50,50,8720,0,1,20,40,10,27,100,0,100,50,50,33,25,43,62
700142,Midfielder,Medium,64,86,81,93,20,39,16,556,3,0,39,50,70,False,50,50,8814,0,1,20,60,15,27,100,0,100,50,50,40,28,46,65
700143,Midfielder,High,64,93,91,96,20,39,31,555,4,0,39,50,70,False,50,50,8607,0,1,20,80,20,27,100,0,100,50,50,48,31,49,69
700136,Defender,Low,64,84,79,97,20,39,55,548,3,0,40,50,70,False,50,50,8695,0,1,20,60,15,27,100,0,100,50,50,40,28,46,65
700137,Defender,Medium,64,85,82,93,20,39,62,548,2,0,39,50,70,False,50,50,8530,0,1,20,40,10,27,100,0,100,50,50,33,25,43,62
700138,Defender,High,64,90,87,94,20,39,47,558,2,0,41,50,70,False,50,50,9157,0,1,20,40,10,28,100,0,100,50,50,33,25,44,62
